WindSpeed (m/s),Power (KW)
5.98,233.46
6.4,319.73
6.24,366.91
6.46,432.2
6.97,494.35
6.77,527.09
7.1,578.51
7.25,655.82
6.83,549.47
5.85,477.42
5.97,416.64
6.14,410.6
6.97,470.51
7.93,576
7.86,661.96
7.42,738.34
8.08,837.75
7.68,711.47
7.15,646.03
7.29,721.62
8.08,851.8
8.24,884.14
7.45,798.52
6.79,641.76
6.48,574.57
6.25,522.91
6.11,473.6
6.01,428.96
6.08,415.24
6.52,437.86
6.37,441.4
6.62,415.93
6.05,333.54
6.05,342.53
6.28,366.06
5.54,365.62
5.66,322.62
6.23,426.44
5.99,428.97
4.41,246.63
4.03,188.63
4.18,227.57
4.65,254.06
5.01,337.82
6.21,402.51
6.95,475.51
5.82,425.62
5.5,417
7,467.75
6.47,429.03
4.84,228.07
4.83,177.86
6.26,281.57
5.6,278.45
6.06,331.45
6.35,329.48
6.62,446.06
8.53,628.81
8.55,341.43
7.09,397.97
7.92,450.03
7.12,516.82
6.74,466.32
5.93,351.24
5.84,308.18
5.68,414.78
5.47,401.44
5.46,429.32
5.59,529.39
5.3,514.7
5.67,523.4
5.64,617.06
6.14,654.37
5.72,609.91
6.82,675.77
6.15,650.83
6.59,628.96
6.07,630.8
6.54,648.87
5.81,513.57
6.92,666.34
6.55,652.98
6.93,807.49
7.32,846.91
7.17,938.47
7.65,913.28
7.13,788.93
7.22,891.93
7.66,879.18
7.76,986.16
7.7,1034.77
8.39,1058.43
8.38,1026.46
7.82,929.5
7.77,837.06
7.83,878.39
7.63,885.26
7.94,837.66
8.12,858.65
8.25,820.35
7.99,880.52
7.99,904.67
7.88,857.45
8.19,883.47
7.81,855.96
7.88,769.18
7.38,715.88
7.12,719.67
7.72,801.33
6.98,815.39
6.75,793.7
7.45,799.32
7.2,763.91
7.21,767.06
6.96,678.92
7.42,774.69
7.18,781.44
7.39,815.73
7.72,858.99
6.97,841.09
6.84,829.3
6.85,813.17
6.23,644.51
6.31,666.32
6.53,811.38
6.33,841.94
6.4,760.1
5.78,627.23
6.02,658.49
6.3,703.06
6.8,693.93
6.7,581.39
6.18,601.93
6.89,719.02
7.55,814.15
6.98,825.25
7.02,747.62
6.01,767.63
6.12,744
6.07,693.63
5.6,665.19
5.53,668.29
6.15,690.77
6.45,680.38
6.67,648.64
6.64,533.4
7.17,491.98
6.62,460.83
5.73,362.1
5.4,328.04
5.18,249.45
5.17,217.09
6.25,214.27
6.05,221.9
6.14,264.7
6.14,310.15
6.16,341.19
6.46,366.66
6.11,339.83
5.93,352.95
6.13,334.57
6.14,359.97
5.97,311.11
5.69,348.02
5.45,324.68
6.77,406.63
7.28,430.92
6.07,403.51
5.63,518.77
6.87,524.41
6.05,508.29
5.39,496.88
5.75,436.6
5.99,421.94
5.39,329.11
4.83,265.32
4.23,186.08
4.19,125.01
4.11,178.85
3.82,120.28
4.47,141.59
4.93,229.1
5.44,285.34
5.06,252.09
5.09,228.64
4.28,180.88
4.61,191.83
4.07,176.83
4.24,164.16
4.83,150.59
4.36,112.19
3.54,97.91
4.57,168.06
4.96,114.9
5.31,112.83
5.65,73.42
4.24,30.39
4.24,23.72
4.05,0.21
3.09,0
2.77,0.03
3.18,0
2.59,0
2.31,0
1.5,0
2.2,0
4.39,7.3
5.15,3.12
4.37,0.02
3.01,0
3.47,0
2.77,0
3.05,0
2.64,0
2.92,0.01
2.97,0
3.82,0.05
4.12,0.2
3.77,3.84
3.18,6.85
3.36,2.23
3.08,0.71
2.73,0.37
3.52,14.5
3.05,5.01
3.66,4.28
4.3,0.53
3.59,0
3.51,0.01
2.57,0
3.06,0
3.01,0
3.11,0
3.16,0.01
3.13,0.06
2.8,0
2.57,0
2.37,0
3.02,0
2.3,0
2.06,0
2.19,0
1.89,0
2.48,0
2.99,0
2.66,0
2.52,0
3.33,0
3.22,0
2.73,0
2.48,0
1.41,0
1.12,0
1.5,0
1.43,0
1.72,0
1.79,0
2.5,0
3.55,0
4.35,0
4.4,0.13
4.52,6.88
3.77,1.08
3.44,0.23
3.13,3.01
4.27,9.74
4.37,12.29
4.85,6.9
4.55,0.17
3.66,0
3.87,0
2.22,0
1.88,0
2.08,0
2.15,0
5.64,812.26
5.64,875.15
7.29,910.78
7.94,876.83
9.56,1309.76
9.67,1495.5
8.74,1472.3
6.97,1320.16
7.82,1364.18
7.77,1297.5
6.42,887.22
6.12,641.77
6.73,565.08
4.81,375.48
5.61,321.43
6,344.09
5.68,506.76
7.27,1020.33
8.78,1484.74
9.95,1672.61
9.15,1526.25
8.63,1354.01
8.36,1139.44
7.15,847.34
6.65,764.9
8.33,927.7
8,996.96
7.3,853.93
6.84,750.75
5.75,523.31
6.11,482.65
9.29,843.51
8.18,836.64
7.79,710.55
7.65,649.29
7.19,686.97
6.89,746.82
6.24,535.69
7.87,594.91
7.65,738.59
7.14,634.29
7.73,457.06
8.11,491.28
8.99,721.18
8.98,875.65
10.81,1243.34
11.53,1808.57
9.98,1787.02
9.14,1523.13
9.57,1445.24
9.02,1323.79
9.82,1377.54
10.55,1392.41
9.53,1403.37
10.11,1632.21
10.38,1824.18
9.61,1520.26
8.18,935.66
6.79,570.27
6.34,644.19
7.27,662.51
7.94,747.38
7.23,792.17
7.64,632.46
8.1,618.02
6.73,666.5
6.26,571.62
6.33,406.81
5.44,271.84
4.71,184.49
5.74,162.9
5.58,192.3
6.02,197.17
5.85,126.85
4.81,141.64
4.47,171.19
4.83,313.4
4.56,305.29
5.17,207.47
4.94,276.32
4.68,258.23
5.13,236.87
5.42,274.9
5.12,225.71
4.45,163.88
5.17,164.32
4.68,187.22
4.33,185.69
4.21,155.03
4.67,205.15
4.86,258.2
4.36,237.85
4.82,251.26
5.24,324.94
5.19,305.98
5.44,258.19
4.36,131.55
4.4,148.61
4.82,184.82
5.43,154.78
6.28,181.86
6.34,200.16
5.77,128.06
5.64,126.17
6.66,235.04
6.22,201.25
6.15,176.15
5.58,114.93
5.87,111.66
5.75,132.36
5.48,93.86
5.4,33.1
5.26,63.35
5.37,85.89
5.65,191.19
5.75,271.38
6.6,379.46
6.43,444.11
5.89,490.87
5.29,503.79
5.38,390.83
5.31,309.24
5.36,287.9
6.38,411.85
6.56,545.78
6.54,477.36
6.6,514.56
6.32,561.77
6.67,568.69
6.68,649.96
6.3,620.43
5.96,612.8
6.18,559.76
6.55,580.74
6.69,569.9
6.93,524.48
7.08,586.94
6.74,548.39
6.55,526.29
6.49,555.7
6.72,551.7
6.73,540.84
7.09,518.45
6.69,447.07
6.75,465.56
6.49,477.33
6.04,370.49
5.53,310.87
5.17,288.28
4.93,333.32
4.89,333.96
5.3,367.89
5.39,394.53
5.49,408.92
5.62,431.85
5.6,475.04
5.42,493.97
5.13,459.83
5.01,422.43
4.62,342.38
5.07,380.89
5.33,450.1
3.43,0
2.92,0
2.89,0
2.91,0
3.08,0
4.58,53.89
7.02,318.97
11.97,1195.96
10.38,1136.21
7.41,570.67
5.77,311.98
5.01,174.91
4.22,102.05
4.52,16.73
5.17,67.44
5.26,112.01
4.43,89.61
3.94,96.29
4.29,62.61
3.89,14.12
2.66,0
1.04,0
0.52,0
0.75,0
0.71,0
1.3,0
1.16,0
0.57,0
0.44,0
0.36,0
0.35,0
0.35,0
0.35,0
0.85,0
1.48,0
1.75,0
2.19,0
2.18,0
2.66,0
2.56,0
2.8,0
2.72,0
2.63,0
3.16,0
3.41,0
2.64,0
2.8,0
2.57,0
3.24,0.22
3.32,0.09
3.68,6.84
3.52,15.37
3.58,0.16
4.23,6.08
4.3,9.97
4.38,15.73
4.31,9.34
4.59,53.88
5.29,98.2
4.18,109.6
4.52,130.09
4.6,177.03
5.4,178.68
5.64,175.24
5.56,202.08
5.63,166.87
5.04,145.48
4.95,138.69
4.08,65.23
3.01,11.2
2.18,0.02
2.37,0
2.98,0
2.7,0
2.92,0
3.04,0
2.51,0
2.27,0
2.66,0
2.51,0
1.88,0
1.34,0
1.64,0
1.48,0
2.38,0
2.26,0
1.49,0
1.56,0
1.69,0
3.05,0
1.86,0
2.27,0
2.25,0
2.09,0
2.24,0
2.42,0.89
2.07,0.36
2.29,0
1.82,0
1.9,0
2.01,0
1.02,0
2,0
2.18,0
2.28,0
2.4,0
1.87,0.01
1.89,0
1.92,0
1.86,0
1.8,0
2.48,0
1.74,0
2.04,0
1.84,0
2.18,0
1.74,0
2.19,0
2.37,0
1.84,0
1.87,0
3.4,0
2.57,0
3.08,0
3.27,0
2.97,0
2.69,0
4.07,0.49
4.68,0.21
4.14,0.05
4.67,0.18
4.07,0.89
4.33,1.98
3.87,10.68
3.71,19.06
3.66,0.74
3.27,1.49
3.65,0.85
3.81,0.01
3.83,1.61
4.11,12.43
4.35,8.73
3.96,21.96
4.05,1.97
3.96,2.28
4.47,20.68
3.96,81.01
4.95,146.02
4.8,168.23
5.17,191.39
5,207.7
5.12,170.4
5.27,212.11
5.52,247.38
5.18,234.6
5.9,301.47
5.17,362.81
5.72,274.97
5.7,295.16
5.8,221.36
4.94,188.08
4.34,243.24
4.95,274
5.57,292.44
4.81,200.6
5.62,239.27
4.81,287.96
4.57,334.1
4.27,305.52
5.48,304.75
4.93,225.36
4.22,189.84
3.85,160.6
4.3,175.34
3.95,189.21
4.4,347.2
5.41,352.94
5.69,481.37
5.15,412.08
4.67,455.63
4.07,372.31
4.52,432.68
4.76,471.91
5.89,592.21
5.37,485.44
4.81,331.96
4.37,116.02
4.49,117.1
4.88,160.09
4.66,207.1
4.96,216.72
5.22,312.86
5.56,348.63
4.73,325.62
4.65,340.6
6.28,379.88
5.93,437.71
6.31,354.13
1.95,0
1.78,0.01
0.77,2.29
1.65,11.54
4.52,125.91
4.64,151.47
4.12,133.1
4.26,126.39
4.79,202.34
4.62,167.5
4.36,139.45
4.2,85.88
3.1,17.52
3.37,0
4.22,17.58
4.19,18.7
3.93,0.64
3.88,0.02
3.8,0
3.48,0.02
4.03,14.97
4,0.22
4.03,0
3.94,0
3.68,3.21
3.72,22.79
3.14,57.47
3.22,5.6
2.69,0
2.64,0
3.06,0
3.34,0
3.52,0.01
3.79,9.58
3.53,16.21
3.47,6.02
3.6,0
3.37,0
3.28,0
3.31,0
3.37,0
3.45,0
3.56,0
3.37,0
3.05,0
2.62,0
2.65,0
